Gene ID,AO1,AO2,B1,B2
NVE18048,17,26,39,39
NVE18050,58,48,49,35
NVE18051,461,399,603,498
NVE18052,25,19,24,27
NVE18053,3,8,7,10
NVE18054,353,319,424,302
NVE18055,7,2,2,2
NVE18056,5,2,30,17
NVE18057,392,431,371,345
NVE18058,82,75,61,82
NVE18059,17,7,28,18
NVE18060,198,154,247,224
NVE18061,174,155,169,132
NVE18062,85,52,109,100
NVE18063,4,4,6,1
NVE18064,281,318,253,227
NVE18065,6,7,14,12
NVE18066,128,134,141,123
NVE18067,2,2,9,4
NVE18068,25,7,32,25
NVE18069,246,233,266,232
NVE18070,6,7,5,4
NVE18071,516,455,481,432
NVE18072,26,11,39,23
NVE18073,72,51,162,137
NVE18074,211,238,205,157
NVE18076,8,7,17,16
NVE18077,74,96,101,99
NVE18078,806,845,837,700
NVE18079,190,163,195,166
NVE18080,433,412,410,367
NVE18081,219,180,298,264
NVE18082,124,146,125,92
NVE18083,5,6,7,6
NVE18085,86,80,113,80
NVE18086,86,57,78,58
NVE18087,377,370,374,288
NVE18088,3,6,6,4
NVE18089,1,1,0,0
NVE18090,276,301,478,408
NVE18091,104,113,132,133
NVE18092,58,57,60,44
NVE18093,72,69,72,59
NVE18094,49,46,75,50
NVE18095,20,23,20,7
NVE18096,2,6,2,3
NVE18097,102,82,105,91
NVE18098,154,156,100,96
NVE18099,127,114,153,111
NVE18100,291,244,335,289
NVE18102,167,169,187,143
NVE18103,517,453,628,534
NVE18104,28,29,27,31
NVE18105,5,5,5,3
NVE18106,101,97,145,140
NVE18107,6,4,7,4
NVE18108,31,34,36,34
NVE18109,108,116,110,108
NVE18110,205,220,176,143
NVE18111,479,481,585,487
NVE18112,142,138,147,121
NVE18113,578,549,704,669
NVE18114,249,273,216,182
NVE18115,116,137,204,169
NVE18116,6,5,28,17
NVE18117,3,1,11,10
NVE18118,43,37,55,39
NVE18119,44,32,61,33
NVE18120,45,42,77,84
NVE18121,31,20,29,34
NVE18122,2,5,4,0
NVE18123,2,7,3,2
NVE18263,117,99,125,97
NVE18274,317,278,313,229
NVE18312,1068,913,791,779
NVE18320,281,207,300,252
NVE18352,53,44,42,47
NVE18244,142,141,155,160
NVE18245,425,401,516,500
NVE18246,310,291,237,210
NVE18247,20,20,20,22
NVE18248,275,258,254,218
NVE18249,111,110,78,89
NVE18250,444,377,360,355
NVE18251,59,49,72,63
NVE18252,178,138,161,143
NVE18253,201,172,190,143
NVE18254,243,240,281,244
NVE18255,3,2,2,2
NVE18256,2,26,583,474
NVE18257,1,21,651,458
NVE18258,4,1,0,2
NVE18259,92,41,105,88
NVE18260,135,106,169,148
NVE18261,27,14,37,11
NVE18262,50,42,48,50
NVE18264,462,435,446,363
NVE18265,922,969,41,64
NVE18266,106,81,71,68
NVE18267,701,610,611,538
NVE18268,3,1,0,1
NVE18269,4,2,5,6
NVE18270,18,16,5,9
NVE18271,105,105,95,113
NVE18272,2388,2941,1419,1224
NVE18273,85,64,120,105
NVE18275,12,4,45,28
NVE18276,30,36,60,35
NVE18278,11,9,15,11
NVE18279,8,5,9,13
NVE18280,10,5,14,10
NVE18281,106,62,94,107
NVE18282,34,35,39,35
NVE18283,345,302,373,329
NVE18284,188,200,206,180
NVE18285,8,16,7,7
NVE18286,90,103,83,90
NVE18287,517,537,407,350
NVE18288,14,8,7,10
NVE18289,4,2,3,2
NVE18290,4,1,0,2
NVE18291,3,0,1,0
NVE18292,6,0,0,3
NVE18293,2457,2336,2488,2087
NVE18294,729,535,579,486
NVE18295,1405,1328,1354,1016
NVE18296,989,801,1861,1568
NVE18297,788,682,592,484
NVE18298,67,42,91,60
NVE18299,46,60,59,48
NVE18300,319,289,267,278
NVE18301,50,49,59,60
NVE18302,23,22,34,31
NVE18303,59,65,59,63
NVE18304,129,90,122,92
NVE18305,28,33,26,34
NVE18306,47,52,58,35
NVE18307,16,7,22,16
NVE18308,93,104,63,68
NVE18309,101,65,100,86
NVE18310,256,247,129,126
NVE18311,985,769,634,653
NVE18313,53,45,62,50
NVE18314,64,89,89,71
NVE18315,370,424,292,224
NVE18316,12,15,25,23
NVE18317,348,392,429,313
NVE18318,62,44,66,79
NVE18319,51,50,73,39
NVE18321,499,404,533,401
NVE18322,315,311,422,335
NVE18323,25,41,153,126
NVE18324,5,21,307,258
NVE18325,41,40,39,22
NVE18326,4,3,4,4
NVE18327,4,1,0,2
NVE18328,87,64,118,85
NVE18329,300,246,333,310
NVE18330,74,61,58,50
NVE18331,126,149,116,98
NVE18332,299,306,338,291
NVE18333,174,185,114,131
NVE18334,142,122,107,126
NVE18335,157,151,185,132
NVE18336,15,20,66,66
NVE18337,227,245,298,222
NVE18338,25,30,46,33
NVE18339,3,15,6,4
NVE18340,49,59,46,35
NVE18341,20,16,21,27
NVE18342,187,191,221,177
NVE18343,58,35,48,43
NVE18344,20,22,23,18
NVE18345,16,25,11,7
NVE18346,190,116,144,117
NVE18347,226,215,183,147
NVE18348,100,101,125,111
NVE18349,192,169,193,157
NVE18350,133,94,129,134
NVE18351,94,89,100,96
NVE18353,396,375,445,391
NVE18354,86,81,66,43
NVE18553,2198,1975,2058,1800
NVE18486,340,268,237,230
NVE18506,1578,1353,1612,1431
NVE18530,442,419,506,423
NVE18546,1112,1138,1458,1220
NVE18466,137,146,113,141
NVE18467,22,4,14,7
NVE18468,77,65,99,52
NVE18469,114,145,112,104
NVE18470,160,118,89,102
NVE18471,17,13,15,14
NVE18472,49,51,66,50
NVE18474,162,142,342,247
NVE18475,110,82,126,124
NVE18476,251,236,306,273
NVE18477,48,48,44,47
NVE18478,19,14,26,15
NVE18479,3,2,0,2
NVE18480,101,69,197,139
NVE18481,14,26,39,19
NVE18482,58,37,74,59
NVE18483,19,15,33,30
NVE18484,1253,1147,1149,1044
NVE18485,76,53,65,42
NVE18487,43,43,80,61
NVE18488,9,4,12,6
NVE18489,10,12,20,18
NVE18490,112,119,79,48
NVE18491,738,495,915,769
NVE18492,503,381,583,520
NVE18493,28,15,23,19
NVE18494,173,165,384,300
NVE18495,10,10,10,8
NVE18496,55,56,110,73
NVE18497,182,170,256,171
NVE18498,122,107,92,89
NVE18499,6,3,2,8
NVE18500,19,26,7,7
NVE18501,473,481,299,211
NVE18502,424,442,501,400
NVE18503,12,14,19,7
NVE18504,19,14,20,21
NVE18505,16,12,28,19
NVE18507,142,148,119,94
NVE18508,71,51,91,58
NVE18509,39,49,54,76
NVE18510,2062,1850,2336,2120
NVE18511,127,124,167,112
NVE18512,6,8,7,9
NVE18513,8,7,8,9
NVE18514,316,309,437,325
NVE18515,302,230,229,185
NVE18516,191,167,168,152
NVE18517,342,373,420,349
NVE18518,182,169,232,187
NVE18519,130,125,273,195
NVE18520,560,556,565,578
NVE18521,5,3,1,0
NVE18522,162,132,138,109
NVE18523,227,194,263,257
NVE18524,250,240,312,245
NVE18525,60,56,59,48
NVE18526,206,173,218,181
NVE18527,118,134,109,98
NVE18528,198,122,218,186
NVE18531,872,860,1771,1462
NVE18532,24,14,27,22
NVE18533,95,99,126,116
NVE18534,49,41,94,81
NVE18535,144,127,130,106
NVE18536,1391,1121,2036,1705
NVE18537,53,68,54,28
NVE18538,146,99,106,85
NVE18539,41,32,63,48
NVE18540,309,233,384,332
NVE18541,202,166,272,240
NVE18542,4,2,8,1
NVE18544,99,89,78,62
NVE18545,76,78,127,95
NVE18547,324,294,376,295
NVE18548,3216,2985,3883,3460
NVE18549,134,160,109,112
NVE18550,71,43,79,56
NVE18551,123,131,142,137
NVE18552,53,54,26,29
NVE18766,226,285,320,284
NVE18687,52,39,303,218
NVE18696,822,774,936,756
NVE18707,51,40,40,21
NVE18738,157,77,213,174
NVE18776,262,218,276,256
NVE18675,75,62,73,74
NVE18676,14,24,23,19
NVE18677,4,6,11,8
NVE18678,389,330,226,182
NVE18679,84,82,136,101
NVE18680,489,514,572,396
NVE18681,4,7,28,11
NVE18682,90,73,184,155
NVE18683,424,417,630,461
NVE18684,211,189,211,186
NVE18685,195,191,89,95
NVE18686,44,38,56,54
NVE18688,10,3,14,4
NVE18689,281,253,329,267
NVE18690,523,406,374,349
NVE18691,15,14,6,14
NVE18692,9,11,14,3
NVE18693,138,119,136,99
NVE18694,319,311,222,214
NVE18695,18,8,3,4
NVE18697,42,32,43,43
NVE18698,905,884,585,692
NVE18699,466,473,221,264
NVE18700,302,268,216,203
NVE18701,105,73,85,79
NVE18702,145,125,259,207
NVE18703,26,19,52,42
NVE18704,14,11,23,22
NVE18705,174,169,189,166
NVE18706,152,128,68,63
NVE18708,75,77,39,45
NVE18709,0,1,0,0
NVE18710,1,2,3,3
NVE18711,3588,3428,3725,2995
NVE18712,405,401,484,419
NVE18713,438,366,475,443
NVE18714,255,214,273,210
NVE18715,465,353,485,384
NVE18716,26,35,50,39
NVE18717,248,183,203,157
NVE18718,147,163,192,192
NVE18719,103,104,47,59
NVE18720,589,563,501,409
NVE18721,1448,1231,1162,982
NVE18722,873,650,700,650
NVE18723,10,10,19,6
NVE18724,7,8,9,3
NVE18725,16,16,15,16
NVE18726,13,29,32,24
NVE18727,1,1,0,0
NVE18728,8,11,11,6
NVE18729,78,88,66,65
NVE18730,227,216,165,149
NVE18731,16,20,15,11
NVE18732,3,3,2,1
NVE18733,76,48,98,74
NVE18734,11,11,22,13
NVE18735,384,357,505,433
NVE18736,429,416,430,384
NVE18737,16,13,8,18
NVE18739,28,30,48,56
NVE18740,57,69,27,42
NVE18741,39,31,58,43
NVE18742,27,31,47,44
NVE18743,46,34,32,29
NVE18744,25,5,7,11
NVE18745,25,30,26,13
NVE18746,157,127,141,123
NVE18747,11,13,8,11
NVE18748,2076,2096,1228,1004
NVE18750,163,173,5,9
NVE18751,482,407,365,266
NVE18752,4,4,2,3
NVE18753,155,139,116,108
NVE18754,45,62,48,50
NVE18755,74,52,58,71
NVE18756,3,6,4,4
NVE18757,89,98,104,77
NVE18759,1,20,253,187
NVE18760,210,230,347,303
NVE18761,1,2,29,16
NVE18762,421,354,358,225
NVE18763,4,9,9,6
NVE18764,96,96,83,106
NVE18765,60,57,111,93
NVE18767,110,122,107,99
NVE18768,633,639,509,430
NVE18769,3,2,4,3
NVE18770,425,411,269,245
NVE18771,9,3,10,10
NVE18772,59,62,78,61
NVE18773,8,6,3,10
NVE18774,46,44,61,54
NVE18775,144,99,142,130
NVE19229,15,13,55,49
NVE19155,115,68,177,177
NVE19165,1976,1783,1136,1061
NVE19195,121,125,227,218
NVE19205,17,12,15,12
NVE19213,60,59,229,174
NVE19149,106,98,141,107
NVE19150,30,33,39,41
NVE19151,27,32,23,33
NVE19152,5,6,9,2
NVE19153,2,2,4,2
NVE19154,14,5,12,17
NVE19156,209,210,262,218
NVE19157,104,142,73,60
NVE19158,216,239,153,136
NVE19159,62,88,65,65
NVE19160,1394,1471,982,973
NVE19161,54,48,61,53
NVE19162,113,88,161,112
NVE19163,72,68,108,80
NVE19164,359,391,334,296
NVE19166,51,33,49,40
NVE19167,1,0,2,0
NVE19168,11,20,15,11
NVE19169,146,147,126,109
NVE19170,4,3,3,1
NVE19171,6,4,11,11
NVE19172,68,67,57,47
NVE19173,143,99,99,109
NVE19174,22,15,28,18
NVE19175,305,333,340,296
NVE19176,2,1,4,1
NVE19177,110,96,94,72
NVE19178,18,18,38,18
NVE19179,28,11,16,16
NVE19180,72,63,72,57
NVE19181,20,13,19,15
NVE19182,400,382,303,247
NVE19183,646,453,569,431
NVE19184,1566,1386,1492,1249
NVE19185,31,25,15,21
NVE19186,14,15,18,13
NVE19187,14,19,12,18
NVE19188,26,19,18,15
NVE19189,14,9,5,14
NVE19190,6,7,8,3
NVE19191,2,7,5,3
NVE19192,0,0,0,0
NVE19193,1,0,0,2
NVE19194,173,161,180,129
NVE19196,177,152,249,216
NVE19197,7,2,4,5
NVE19198,6,4,14,5
NVE19199,1,0,0,3
NVE19200,361,286,366,313
NVE19201,39,43,50,53
NVE19202,90,94,97,63
NVE19203,8,6,16,13
NVE19204,3,4,12,6
NVE19206,14,14,13,6
NVE19207,605,548,727,610
NVE19208,1434,1287,1317,1142
NVE19209,4,3,5,4
NVE19210,479,429,458,395
NVE19211,196,205,249,182
NVE19212,786,744,974,723
NVE19214,359,360,519,538
NVE19215,1338,1103,1319,1054
NVE19216,843,820,750,705
NVE19217,129,116,121,76
NVE19218,123,107,106,116
NVE19219,30,13,31,15
NVE19220,48,49,351,304
NVE19221,14,19,22,16
NVE19222,20,15,28,19
NVE19223,56,66,53,63
NVE19224,6,3,11,8
NVE19225,1,1,10,11
NVE19226,4,6,12,8
NVE19227,8,9,11,6
NVE19228,38,14,12,16
NVE19230,92,74,132,137
NVE19231,276,287,348,297
NVE19232,6,7,6,2
NVE19233,22,21,45,36
NVE19234,208,157,207,195
NVE19235,31,32,28,26
NVE19236,173,179,161,144
NVE19237,74,64,74,45
NVE19238,33,31,29,18
NVE19430,133,162,2160,1658
NVE19355,135,165,133,103
NVE19400,3691,3595,4256,3784
NVE19413,8,11,9,10
NVE19330,8,4,7,4
NVE19331,91,94,120,119
NVE19332,40,37,29,48
NVE19333,208,170,192,149
NVE19334,311,280,266,214
NVE19335,6,36,293,210
NVE19336,326,293,416,367
NVE19337,221,239,341,265
NVE19338,35,32,49,48
NVE19339,533,464,525,407
NVE19340,3,3,3,8
NVE19341,137,171,137,126
NVE19342,17,15,13,6
NVE19343,93,65,79,94
NVE19344,69,63,47,44
NVE19345,13,10,24,22
NVE19346,75,56,75,77
NVE19347,475,479,314,368
NVE19348,33,30,22,15
NVE19349,315,250,326,347
NVE19350,1,2,4,2
NVE19351,378,404,421,282
NVE19352,4894,4367,4901,3918
NVE19353,79,126,118,103
NVE19354,120,102,148,160
NVE19356,0,0,0,1
NVE19357,15,18,44,27
NVE19358,13,17,19,19
NVE19359,2,2,2,1
NVE19360,6,6,6,5
NVE19361,38,32,32,24
NVE19362,38,32,43,22
NVE19363,542,406,588,426
NVE19364,42,34,27,28
NVE19365,146,113,121,115
NVE19366,880,624,784,634
NVE19367,41,30,71,66
NVE19368,472,470,830,699
NVE19369,1588,1622,2801,2303
NVE19370,35,40,56,41
NVE19371,85,61,67,60
NVE19372,52,63,45,59
NVE19373,1853,1769,2106,1674
NVE19374,21,2,4,8
NVE19375,1926,1841,1800,1573
NVE19376,97,76,111,103
NVE19377,23,21,15,22
NVE19378,243,228,268,227
NVE19379,224,251,196,190
NVE19380,9,12,21,16
NVE19381,13,17,16,27
NVE19382,1,0,8,2
NVE19383,481,501,646,510
NVE19384,61,62,81,55
NVE19385,4,0,10,18
NVE19386,305,261,297,276
NVE19387,61,62,69,70
NVE19388,785,628,940,764
NVE19389,351,333,301,302
NVE19390,225,206,233,209
NVE19391,53,21,30,34
NVE19392,165,145,229,172
NVE19394,134,115,83,56
NVE19395,93,89,101,106
NVE19396,64,62,64,44
NVE19397,20,18,10,17
NVE19398,708,671,1090,974
NVE19399,0,0,0,1
NVE19401,80,66,93,73
NVE19402,193,186,132,128
NVE19403,217,162,238,154
NVE19404,0,0,0,0
NVE19405,17,7,9,11
NVE19406,116,125,60,65
NVE19407,76,55,60,51
NVE19408,7,11,12,17
NVE19409,20,13,90,71
NVE19410,24,21,20,30
NVE19411,69,77,93,88
NVE19412,68,71,74,58
NVE19414,30,24,35,24
NVE19415,23,21,26,16
NVE19416,5,0,3,5
NVE19417,13,14,22,18
NVE19418,54,53,52,44
NVE19419,52,59,72,53
NVE19420,166,126,178,176
NVE19421,173,142,164,128
NVE19422,32,22,41,36
NVE19423,63,38,32,20
NVE19424,359,326,388,299
NVE19425,388,376,380,355
NVE19426,59,75,62,64
NVE19427,952,987,1160,1024
NVE19428,804,818,564,594
NVE19429,38,53,69,28
NVE19431,11,2,195,141
NVE19432,154,179,201,166
NVE19433,64,52,58,53
NVE19434,40,43,32,48
NVE19435,39,47,42,55
NVE19436,176,141,134,149
NVE19437,35,40,68,42
NVE19607,60,59,95,64
NVE19517,153,149,222,144
NVE19529,46,43,69,55
NVE19544,352,320,252,173
NVE19555,245,195,184,167
NVE19568,39,38,67,53
NVE19597,738,647,888,786
NVE19508,325,352,29,36
NVE19509,235,234,209,198
NVE19510,156,145,181,159
NVE19511,170,144,203,133
NVE19512,42,41,54,34
NVE19513,8,3,6,6
NVE19514,5,6,10,6
NVE19515,0,0,0,0
NVE19516,69,63,75,62
NVE19518,33,39,52,50
NVE19519,3,3,1,2
NVE19520,34,31,33,49
NVE19521,0,0,2,1
NVE19522,0,0,0,0
NVE19523,241,182,194,221
NVE19524,67,67,66,57
NVE19525,300,318,465,421
NVE19526,397,295,394,298
NVE19527,234,214,200,184
NVE19528,145,148,112,88
NVE19530,24,13,24,18
NVE19531,1454,1347,2054,1641
NVE19532,364,315,329,291
NVE19533,42,30,29,28
NVE19534,16,15,15,17
NVE19535,136,134,131,113
NVE19536,70,88,62,68
NVE19537,28,23,12,14
NVE19538,10,11,6,9
NVE19539,63,79,94,75
NVE19540,17,14,17,13
NVE19541,45,35,44,42
NVE19542,9,19,19,20
NVE19543,486,436,615,509
NVE19545,236,216,251,219
NVE19546,100,67,113,87
NVE19547,52,39,52,30
NVE19548,5,3,54,31
NVE19549,10,23,22,22
NVE19550,69,90,78,98
NVE19551,22,17,139,90
NVE19552,5,2,14,20
NVE19553,9,13,33,22
NVE19554,6,8,10,6
NVE19556,225,183,259,223
NVE19557,53,37,26,19
NVE19558,3,4,8,4
NVE19559,19,13,22,18
NVE19560,1,0,1,1
NVE19561,180,158,180,142
NVE19562,1115,925,1191,893
NVE19563,51,49,26,36
NVE19564,30,34,57,33
NVE19565,101,87,110,85
NVE19566,304,277,408,342
NVE19567,39,56,67,81
NVE19569,193,183,247,199
NVE19570,64,64,84,69
NVE19571,103,76,112,82
NVE19572,1967,1800,2092,1959
NVE19573,330,293,358,319
NVE19574,376,357,411,337
NVE19575,60,59,80,64
NVE19576,29,26,27,34
NVE19577,7,7,6,8
NVE19578,1,1,2,3
NVE19579,259,244,241,211
NVE19580,148,172,134,134
NVE19581,199,196,283,233
NVE19582,64,46,49,45
NVE19583,12,14,13,4
NVE19584,304,334,341,229
NVE19585,68,65,85,75
NVE19586,123,134,166,129
NVE19587,489,401,553,460
NVE19588,100,85,137,119
NVE19589,102,81,123,113
NVE19590,170,160,178,192
NVE19591,419,330,377,323
NVE19592,597,563,713,648
NVE19593,377,343,329,287
NVE19594,81,81,90,81
NVE19595,2,9,13,14
NVE19596,65,43,312,236
NVE19598,12,15,12,13
NVE19599,44,31,23,29
NVE19600,19,21,38,14
NVE19601,28,27,24,26
NVE19602,77,49,64,73
NVE19603,76,83,44,43
NVE19604,8,7,6,13
NVE19605,8,14,14,10
NVE19606,163,128,208,156
NVE19608,630,621,501,466
NVE19609,44,43,32,42
NVE19610,42,31,22,15
NVE19611,468,436,337,266
NVE19612,46,39,71,46
NVE19613,29,25,35,19
NVE19614,147,127,150,133
NVE19615,179,151,212,179
NVE19616,72,77,82,85
NVE19617,98,66,83,69
NVE19618,13,19,33,24
NVE19619,425,370,335,269
NVE19620,20,17,10,12
NVE19621,28,30,41,44
NVE19622,14,12,26,8
NVE19623,10,7,11,10
NVE19824,32,31,47,53
NVE19735,54,49,62,41
NVE19761,326,325,444,388
NVE19770,76,78,46,44
NVE19797,478,471,572,489
NVE19809,104,93,99,87
NVE19718,16,6,26,22
NVE19719,2,11,167,165
NVE19720,1,4,25,32
NVE19721,8,5,141,126
NVE19722,22,30,39,22
NVE19723,0,2,6,2
NVE19724,277,259,325,261
NVE19725,216,213,249,212
NVE19726,343,276,136,112
NVE19727,132,80,160,179
NVE19728,2,2,9,8
NVE19729,96,83,82,79
NVE19730,78,84,65,50
NVE19731,62,77,67,55
NVE19732,1832,1483,1762,1671
NVE19733,158,112,168,205
NVE19734,26,18,43,17
NVE19736,1675,1594,293,257
NVE19737,78,76,68,60
NVE19738,4,9,54,41
NVE19740,3,6,2,5
NVE19741,95,97,151,112
NVE19742,5,10,4,11
NVE19743,432,501,425,442
NVE19744,119,136,394,308
NVE19745,21,20,20,15
NVE19746,351,302,195,224
NVE19747,336,331,406,361
NVE19748,17,11,27,19
NVE19749,38,17,59,41
NVE19750,286,234,292,271
NVE19751,68,58,69,74
NVE19752,27,17,30,30
NVE19753,128,130,516,437
NVE19754,88,66,104,75
NVE19755,503,469,600,571
NVE19756,70,68,98,96
NVE19757,1492,1481,920,1018
NVE19758,36,34,44,43
NVE19759,36,29,41,31
NVE19760,854,726,853,735
NVE19762,143,158,228,202
NVE19763,669,600,807,699
NVE19764,19,28,17,20
NVE19765,136,109,128,146
NVE19766,163,80,244,136
NVE19767,440,342,197,231
NVE19768,143,120,209,146
NVE19769,73,53,131,82
NVE19771,254,233,279,211
NVE19772,287,208,174,187
NVE19774,23,19,18,21
NVE19775,1182,1166,1420,1343
NVE19776,82,87,87,88
NVE19777,106,103,99,83
NVE19778,6736,6743,5516,5074
NVE19779,16,25,20,18
NVE19780,33,52,25,30
NVE19781,5,7,10,7
NVE19782,5,1,3,2
NVE19783,275,247,225,195
NVE19784,146,146,157,129
NVE19785,2554,2776,1570,1617
NVE19786,2176,2127,2328,2053
NVE19787,15,15,11,22
NVE19788,132,122,160,180
NVE19789,399,447,334,282
NVE19790,54,50,50,45
NVE19791,6394,4413,8195,6928
NVE19792,427,299,540,394
NVE19793,898,839,1117,998
NVE19794,237,252,265,248
NVE19795,3,1,4,2
NVE19796,575,505,613,529
NVE19798,15,26,12,8
NVE19799,3,2,5,5
NVE19800,265,215,301,232
NVE19801,236,222,278,266
NVE19802,883,772,861,759
NVE19803,259,242,308,236
NVE19804,365,354,371,299
NVE19805,119,123,162,158
NVE19806,5,4,6,12
NVE19807,82,79,92,97
NVE19808,352,304,285,272
NVE19810,228,224,187,155
NVE19811,1547,1638,860,971
NVE19812,233,231,292,243
NVE19813,39,25,36,38
NVE19814,3,7,8,15
NVE19815,35,40,56,50
NVE19816,8,6,18,13
NVE19817,2782,2238,2773,2381
NVE19818,326,327,585,506
NVE19819,214,242,319,287
NVE19820,69,54,36,29
NVE19821,8,9,9,10
NVE19822,3,2,7,2
NVE19823,113,109,113,126
NVE19825,26,21,65,40
NVE19826,9,2,11,8
NVE19827,64,78,119,88
NVE19828,63,58,43,46
NVE19829,476,391,437,347
NVE19830,246,244,311,238
NVE19831,271,253,247,205
NVE19832,52,53,64,51
NVE19833,59,44,58,47
NVE19834,170,182,225,196
NVE19835,4,3,7,4
NVE19836,62,65,68,85
NVE19837,14,12,15,8
NVE19838,47,35,22,18
NVE19839,52,66,76,67
NVE19985,293,294,343,260
NVE19915,44,36,162,176
NVE19923,219,195,213,215
NVE19945,76,71,63,51
NVE19908,49,34,63,39
NVE19909,15,9,29,16
NVE19910,130,114,60,46
NVE19911,9,12,11,9
NVE19912,2,3,7,2
NVE19913,39,34,51,32
NVE19914,0,1,5,4
NVE19916,48,31,200,177
NVE19917,899,986,775,759
NVE19918,73,57,42,38
NVE19919,88,97,95,63
NVE19920,362,347,310,317
NVE19921,215,175,40,22
NVE19922,74,59,45,48
NVE19924,180,224,176,130
NVE19925,119,109,124,131
NVE19926,187,138,129,116
NVE19927,172,154,169,136
NVE19928,228,205,279,236
NVE19929,91,88,105,76
NVE19930,17,21,12,12
NVE19931,69,71,70,78
NVE19932,502,477,634,509
NVE19933,143,140,190,154
NVE19934,674,622,714,593
NVE19935,575,530,415,333
NVE19936,434,463,956,843
NVE19937,26,14,36,30
NVE19938,78,51,88,83
NVE19939,380,357,362,266
NVE19940,65,72,59,57
NVE19941,29,37,28,25
NVE19942,344,354,368,281
NVE19943,2108,1873,2035,1513
NVE19944,136,124,122,92
NVE19946,327,276,400,368
NVE19947,36,17,27,24
NVE19948,11,6,15,16
NVE19949,112,103,156,147
NVE19950,224,255,164,175
NVE19951,3,0,1,0
NVE19952,164,181,88,100
NVE19953,335,366,300,277
NVE19954,202,193,217,161
NVE19955,79,73,94,85
NVE19956,4641,4314,5634,4860
NVE19957,313,289,276,240
NVE19958,100,92,143,111
NVE19959,2,3,20,11
NVE19960,308,283,222,185
NVE19961,435,376,463,383
NVE19962,23,14,22,21
NVE19963,59,79,76,70
NVE19964,143,138,84,79
NVE19965,58,34,104,109
NVE19966,82,59,117,128
NVE19967,267,201,218,171
NVE19968,141,107,115,79
NVE19969,41,28,24,20
NVE19970,113,124,137,93
NVE19971,22,29,29,21
NVE19972,31,16,43,39
NVE19973,6,3,3,8
NVE19974,9,8,23,11
NVE19975,6587,5676,10169,8113
NVE19976,41,49,58,62
NVE19977,66,59,73,62
NVE19978,277,277,361,269
NVE19979,41,36,55,33
NVE19980,42,35,46,33
NVE19981,10,6,13,7
NVE19983,2,5,8,6
NVE19984,4,6,6,2
NVE19986,95,97,81,67
NVE19987,13,4,18,19
NVE19988,604,564,816,701
NVE19989,160,170,178,153
NVE19990,229,258,307,260
NVE19991,697,689,734,592
NVE19992,15,19,25,20
NVE20104,205,147,176,208
NVE20121,693,709,537,535
NVE20137,373,366,294,258
NVE20155,28,34,39,38
NVE20172,978,1000,1364,1113
NVE20184,20,9,11,9
NVE20082,569,545,442,431
NVE20083,6,2,17,10
NVE20084,1,0,0,1
NVE20085,495,520,352,223
NVE20086,232,247,201,223
NVE20087,185,198,14,19
NVE20088,1957,1823,1239,1019
NVE20089,4864,4459,5791,4757
NVE20090,220,185,235,177
NVE20091,224,227,96,67
NVE20092,248,271,201,180
NVE20093,892,858,148,135
NVE20094,4018,3158,1177,916
NVE20095,93,80,99,63
NVE20096,20,16,23,18
NVE20097,276,223,341,310
NVE20098,40,42,59,58
NVE20099,29,29,31,27
NVE20100,1,0,3,3
NVE20101,17,8,24,17
NVE20102,155,172,280,252
NVE20103,177,171,197,134
NVE20105,94,70,73,79
NVE20106,7,21,14,10
NVE20107,266,254,272,239
NVE20108,2,4,2,3
NVE20109,296,275,213,203
NVE20110,536,515,275,259
NVE20111,3,4,2,3
NVE20112,31,56,104,88
NVE20113,1233,1101,1706,1506
NVE20114,553,481,675,536
NVE20115,331,323,375,279
NVE20116,7,9,31,32
NVE20117,2,2,16,6
NVE20118,11,11,13,11
NVE20119,255,239,249,187
NVE20120,601,488,616,600
NVE20122,29,32,45,34
NVE20123,41,46,34,36
NVE20124,181,163,202,167
NVE20125,116,103,138,104
NVE20126,763,730,1008,876
NVE20127,52,58,142,117
NVE20128,107,56,78,56
NVE20129,11,5,12,8
NVE20130,40,22,21,22
NVE20131,9,3,11,11
NVE20132,147,114,109,91
NVE20133,7,6,35,41
NVE20134,1116,1103,1073,985
NVE20135,155,131,163,141
NVE20136,638,644,216,271
NVE20138,111,118,74,95
NVE20139,84,99,141,100
NVE20140,72,77,91,69
NVE20141,6,1,46,41
NVE20142,1,3,52,49
NVE20143,0,2,30,29
NVE20144,3,1,6,1
NVE20145,370,313,201,204
NVE20146,50,35,45,35
NVE20147,2,5,5,4
NVE20148,72,81,99,94
NVE20149,87,70,27,25
NVE20150,638,641,850,697
NVE20151,101,120,143,132
NVE20152,538,599,248,201
NVE20153,209,158,322,268
NVE20154,106,100,65,56
NVE20156,32,24,34,31
NVE20157,6,4,23,12
NVE20158,9,7,24,11
NVE20159,1,2,9,13
NVE20160,622,613,787,558
NVE20161,385,295,340,336
NVE20162,123,102,151,120
NVE20163,55,55,65,43
NVE20164,151,125,101,109
NVE20165,33,36,58,50
NVE20166,37,42,33,30
NVE20167,19,12,9,19
NVE20168,75,85,121,77
NVE20169,288,247,357,333
NVE20170,41,32,42,45
NVE20171,158,133,201,149
NVE20173,16,8,23,6
NVE20174,46,17,55,32
NVE20175,39,23,12,8
NVE20176,31,23,18,26
NVE20177,55,53,99,62
NVE20178,233,240,290,253
NVE20179,123,105,133,99
NVE20180,186,191,194,171
NVE20181,1670,1561,1049,1145
